ISBN,title,authors,category,publicationYear,totalCopies,availableCopies,shelfNumber,addedAt,lastUpdated
978-0-14-767581-1,Catch-22,Gustave Flaubert,Biography,2024,83,83,W-26,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-04-902078-8,The Prince,Walter Scott,Mystery,2024,147,147,H-51,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-6686-4400-3,As I Lay Dying,Michael Chabon,Young Adult,2024,265,265,C-38,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-7442-5364-1,The Call of the Wild,Herman Melville,Science Fiction,2024,282,282,L-57,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-510-53928-3,Adventures of Huckleberry Finn,Beatrix Potter,Classic,2024,130,130,X-81,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-102-65123-9,Pale Fire,Chinua Achebe,Biography,2024,260,260,F-36,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-234-88194-1,The Alchemist,Theodore Dreiser,Psychology,2025,40,40,I-99,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-62696-959-9,The Pillars of the Earth,Dante Alighieri,Detective,2025,76,76,N-40,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-411-09738-7,The Aeneid,Alexandre Dumas,Comic,2025,43,43,L-32,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-341-59421-2,The Woman in White,Mary Shelley,Fantasy,2024,43,43,H-79,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-6725-2167-3,Go Tell It on the Mountain,Nathanael West,Business,2024,24,24,C-66,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-129-14685-5,Lucky Jim,Albert Camus,Classic,2025,253,253,E-08,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-4790-3944-9,The Ambassadors,Henry David Thoreau,Graphic Novel,2025,139,139,H-84,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-628-90018-0,On the Duty of Civil Disobedience,Victor Hugo,Poetry,2024,212,212,N-47,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-00-443518-3,One Thousand and One Nights,Edgar Allan Poe,Philosophy,2026,151,151,I-03,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-137-41013-9,The King in Yellow,Henry Morley,Classic,2024,234,234,N-15,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-80998-774-7,The Aeneid,Martin Amis,Children's Literature,2025,234,234,M-91,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-87098-760-1,All the King's Men,Philip Pullman,Poetry,2024,102,102,E-47,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-934433-20-4,Nineteen Eighty Four,Johann Wolfgang von Goethe,Romance,2025,188,188,I-92,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-6998-1328-7,The Grapes of Wrath,Honoré de Balzac,Romance,2025,86,86,D-15,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-4317-4996-6,Things Fall Apart,Bram Stoker,Western,2024,151,151,P-54,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-150-55498-8,The Magic Mountain,Dan Brown,Psychology,2025,11,11,N-75,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-246-09358-5,Dr. Zhivago,Gustave Doré,Comedy,2025,166,166,D-22,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-194-15589-9,A Handful of Dust,Harriet Beecher Stowe,Children's Literature,2024,187,187,R-34,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-966107-30-9,Meditations,John Updike,Mythology,2025,280,280,Z-97,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-885066-78-7,Little Women,Louisa May Alcott,Comic,2025,204,204,E-04,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-88670-374-5,Fahrenheit 451,Karl Marx,Philosophy,2025,112,112,M-49,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-631-72726-2,A Passage to India,Richard Wagner,Mythology,2025,157,157,O-45,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-370-40010-2,A Portrait of the Artist as a Young Man,Franz Kafka,Romance,2025,294,294,R-83,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-428-35240-0,Leaves of Grass,W.K. Marriott,Graphic Novel,2024,206,206,Y-90,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-890352-38-7,The Diary of a Nobody,Harper Lee,Thriller,2024,129,129,N-90,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-237-35420-6,Fahrenheit 451,J.M. Barrie,Detective,2025,244,244,U-98,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-84524-046-2,Dune,Grady Ward,Mystery,2024,262,262,W-63,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-74637-890-5,The Hound of the Baskervilles,Arthur Schopenhauer,Business,2025,215,215,R-40,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-09-179959-5,Neuromancer,Aylmer Maude,Memoir,2025,203,203,V-67,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-9690346-9-8,Watchmen,Sir Arthur Conan Doyle,Detective,2024,101,101,K-45,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-18-042020-1,Things Fall Apart,Stendhal,Religion,2024,138,138,B-71,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-350-58787-8,The Prince,Jane Austen,Poetry,2025,235,235,X-91,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-353-47826-5,The King in Yellow,John Grisham,Mystery,2024,179,179,K-69,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-9871-1534-5,1984,Judy Blume,Historical Fiction,2025,211,211,G-95,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-260-40539-2,To Kill a Mockingbird,Michael Chabon,Biography,2025,10,10,C-82,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-88061-620-1,The Great Gatsby,Ken Kesey,Graphic Novel,2025,297,297,L-71,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-6772-8114-5,The Enchanted April,J.R.R. Tolkien,Historical Fiction,2025,60,60,T-53,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-309-26891-2,Uncle Tom's Cabin,Nathaniel Hawthorne,Religion,2024,177,177,B-66,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-4124-3835-3,Gulliver's Travels,Joseph Heller,Comedy,2025,198,198,R-36,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-567-17690-5,All the King's Men,Walt Whitman,Psychology,2025,171,171,Q-21,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-7423-9962-4,Hamlet,Alan Moore and Dave Gibbons,Memoir,2024,24,24,Y-09,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-394-65767-7,Beyond Good and Evil,James Dickey,Comic,2024,206,206,T-27,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-923135-91-8,Oscar and Lucinda,Theodore Dreiser,Detective,2026,235,235,H-13,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-57083-148-5,The Tin Drum,D.H. Lawrence,Romance,2024,61,61,M-26,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-227-05324-6,One Thousand and One Nights,Agatha Christie,Drama,2025,211,211,S-55,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-944950-58-6,Fahrenheit 451,Charles E. Derbyshire,Western,2024,71,71,F-57,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-4757-3399-0,The Adventures of Augie March,William Gibson,Historical Fiction,2025,51,51,R-68,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-330-54823-3,One Hundred Years of Solitude,Wilkie Collins,Comedy,2025,82,82,F-48,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-946470-09-9,Adventures of Huckleberry Finn,Arthur Schopenhauer,Philosophy,2025,206,206,S-84,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-229-82833-3,Stories of Anton Chekhov,Muriel Spark,Mythology,2025,15,15,L-59,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-0733-6131-1,Pride and Prejudice,Ian McEwan,Detective,2024,192,192,G-45,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-377-62944-8,Beloved,Dashiell Hammett,Psychology,2024,198,198,A-83,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-140-51257-8,Herzog,David Wyllie,Poetry,2025,54,54,R-14,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-570-26607-5,All Quiet on the Western Front,Homer,Memoir,2025,220,220,Q-46,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-09-067438-1,As I Lay Dying,Elizabeth Cleghorn Gaskell,Horror,2025,274,274,J-20,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-665-15246-7,Oscar and Lucinda,John Green,Comic,2025,293,293,W-87,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-4221-2263-1,Brave New World,Ian McEwan,Adventure,2025,181,181,A-18,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-08-248421-9,The Diary of a Young Girl,Mikhail Bulgakov,Comic,2024,189,189,H-06,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-666-61138-3,The Pilgrim's Progress,Frances Hodgson Burnett,Psychology,2025,115,115,O-43,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-542-65294-3,The Golden Notebook,John Dos Passos,Philosophy,2024,118,118,Y-56,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-927262-56-9,Nineteen Eighty Four,W.G. Sebald,Detective,2025,176,176,D-55,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-536-72839-5,The Diary of a Nobody,R.L. Stine,Mythology,2024,58,58,K-78,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-910507-23-0,Meditations,Gustave Doré,Science Fiction,2025,76,76,G-25,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-875431-47-2,A Passage to India,Kingsley Amis,Children's Literature,2024,212,212,O-71,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-175-14307-5,Beyond Good and Evil,Vance Packard,Mystery,2025,200,200,R-08,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-56921-270-7,Money,Albert Camus,Horror,2025,253,253,C-95,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-7046-5421-1,A Doll's House,Samuel Butler,Fantasy,2026,94,94,C-75,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-006-47507-8,Lord of the Flies,Oscar Wilde,Classic,2025,211,211,T-43,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-198-88811-3,Vanity Fair,Beatrix Potter,Business,2025,99,99,G-31,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-7553-0794-4,American Pastoral,W.K. Marriott,Graphic Novel,2024,245,245,N-97,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-81250-990-5,Ulysses,Kenneth Grahame,Drama,2024,137,137,O-51,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-88903-605-5,Meditations,Elizabeth Von Arnim,Business,2024,296,296,U-33,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-483-79276-0,The Magic Mountain,Sir Arthur Conan Doyle,Biography,2025,47,47,R-10,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-378-82879-3,Winnie-the-Pooh,Jules Verne,Western,2025,257,257,W-32,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-62453-636-6,Dr. Zhivago,Anton Pavlovich Chekhov,Historical Fiction,2025,107,107,F-21,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-19-672815-5,Austerlitz,Arthur Conan Doyle,Thriller,2024,180,180,F-45,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-0853-7940-3,Scoop,Sir Arthur Conan Doyle,Philosophy,2024,251,251,A-45,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-0957-0254-3,The Scarlet Letter,Elizabeth Von Arnim,Adventure,2024,102,102,I-52,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-160-08004-0,Leaves of Grass,Joseph Conrad,Thriller,2024,33,33,G-33,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-507-55572-2,The Good Soldier,Italo Calvino,Psychology,2025,190,190,A-23,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-305-71485-7,Second Treatise of Government,Theodore Dreiser,Philosophy,2025,16,16,I-79,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-332-33468-4,Dora,Alice Walker,Fantasy,2026,244,244,B-18,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-10-724595-5,Republic,Bertrand Russell,Comic,2024,203,203,E-18,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-329-59444-2,The Color Purple,Alexander Pope,Memoir,2025,112,112,G-15,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-492-96510-0,The Prime of Miss Jean Brodie,P.G. Wodehouse,Classic,2025,241,241,P-02,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-5285-1564-1,Things Fall Apart,L. Frank Baum,Fantasy,2024,111,111,J-92,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-8206-3406-7,All the King's Men,Jack Kerouac,Psychology,2025,263,263,Z-19,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-12-223585-6,Pale Fire,Jules Verne,Horror,2026,159,159,Z-27,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-05-739884-5,In Cold Blood,Erich Remarque,Religion,2024,235,235,P-82,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-316-52171-7,Clarissa,William Gibson,Young Adult,2025,177,177,R-67,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-11-743914-6,Money,Mikhail Bulgakov,Philosophy,2024,160,160,Y-49,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-256-65697-8,The Aeneid,V.S. Naipaul,Classic,2024,300,300,J-75,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-260-36806-5,Anna Karenina,Oscar Levy,Thriller,2024,102,102,R-45,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-559-45094-5,Don Quixote,G.K. Chesterton,Business,2024,153,153,A-91,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-452-98307-6,Ruth Fielding in Alaska,Herman Melville,Detective,2024,64,64,D-27,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-7400-7470-7,The Hound of the Baskervilles,Louise Maude,Graphic Novel,2024,92,92,O-11,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-15-720128-4,Invisible Man,Herman Melville,Classic,2026,29,29,I-75,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-13-974396-2,The Catcher in the Rye,Sir Richard Francis Burton,Philosophy,2025,129,129,J-22,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-4349-1490-3,The Works of Edgar Allan Poe,Clifford R. Adams,Adventure,2025,27,27,D-57,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-381-97904-8,The Count of Monte Cristo,James Patterson,Adventure,2025,166,166,B-62,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-204-49047-0,The Art of War,Judy Blume,Graphic Novel,2025,292,292,Q-72,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-362-06051-5,Austerlitz,Gabriel Garcia Marquez,Mystery,2024,65,65,A-88,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-165-92860-6,Treasure Island,Dan Brown,Memoir,2024,89,89,L-32,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-278-93529-4,The Pilgrim's Progress,Richard Yates,Young Adult,2024,15,15,U-80,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-033-29463-5,Revolutionary Road,James Ellroy,Romance,2025,174,174,D-34,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-85271-188-0,The Hobbit,Harper Lee,Classic,2025,7,7,J-04,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-904602-25-8,Charlie and the Chocolate Factory,Margaret Mitchell,Religion,2025,169,169,G-49,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-674-02157-0,Fahrenheit 451,John Steinbeck,Poetry,2024,44,44,V-49,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-9746301-7-5,The Master and Margarita,Dashiell Hammett,Detective,2024,7,7,G-83,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-09-944317-9,On the Duty of Civil Disobedience,Herman Melville,Comedy,2024,107,107,P-67,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-9634298-6-5,The Naked and the Dead,George Grossmith,Horror,2025,256,256,O-72,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-86047-857-7,Harry Potter and the Sorcerer's Stone,Henry David Thoreau,Psychology,2024,18,18,R-87,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-6602-6142-0,One Hundred Years of Solitude,L.M. Montgomery,Detective,2024,262,262,A-44,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-386-82923-5,Brave New World,Ernest Hemingway,Fantasy,2024,170,170,R-12,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-929109-93-0,Native Son,Niccolo Machiavelli,Romance,2025,236,236,M-97,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-954797-18-5,To Kill a Mockingbird,Alan Moore and Dave Gibbons,Horror,2024,95,95,S-04,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-887678-96-4,Dora,Bhagavanlal Indrajit,Adventure,2024,73,73,V-38,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-109-77043-8,The Golden Bowl,Agatha Christie,Adventure,2025,76,76,F-36,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-906468-63-7,"Tinker, Tailor, Soldier, Spy",J.M. Barrie,Drama,2024,223,223,M-65,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-83557-304-4,Les Miserables,Thomas Hardy,Young Adult,2024,252,252,Z-64,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-7255-7000-2,Midnight's Children,George Orwell,Mythology,2024,167,167,C-40,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-09-009439-4,The Alchemist,John Updike,Classic,2025,198,198,Q-26,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-55231-946-8,Animal Farm,Karl Marx,Drama,2025,121,121,P-61,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-265-63704-0,Winnie-the-Pooh,Anthony Burgess,Children's Literature,2025,296,296,J-26,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-206-40014-9,The Black Sheep,Elizabeth Cleghorn Gaskell,Biography,2024,248,248,A-75,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-85108-310-0,Brave New World,D.H. Lawrence,Graphic Novel,2025,234,234,S-47,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-88375-240-1,All the King's Men,Samuel Butler,Comic,2025,18,18,A-24,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-391-63306-3,Notes from the Underground,Jules Verne,Detective,2025,131,131,C-71,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-283-81960-2,Money,Jack London,Mythology,2024,293,293,L-19,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-539-48846-3,Tristram Shandy,Jack London,Psychology,2025,229,229,F-28,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-364-70928-3,The Aeneid,Arthur Schopenhauer,Horror,2025,183,183,G-44,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-557-75651-3,The Black Sheep,Günter Grass,Drama,2024,45,45,F-87,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-1-82107-716-7,In Cold Blood,Nancy Mitford,Business,2025,10,10,L-58,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-209-12199-7,Clarissa,C.E. Brock,Western,2026,86,86,A-19,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
978-0-330-20376-0,Dr. Zhivago,John Updike,Western,2025,281,281,P-26,"2/15/2025, 4:58:42 PM","2/15/2025, 4:58:42 PM"
